Вес_чёрного,Норм_вес_чёрного,Центр_массы,Нормированный_центр_массы,Моменты_инерции,Нормированные_моменты_инерции
"29623,0.34374202232588363,""(137.2723559396415, 173.2384971137292)"",""(0.5047124294060796, 0.5433391076142877)"",""(-2.4429027689620852e-09, -4.2086867324542254e-09)"",""(-2.073771450731821e-12, -3.5727391616759127e-12)"""
"35323,0.5374117575462513,""(92.23899442289726, 160.0533363530844)"",""(0.4407680889995037, 0.5049312265177283)"",""(-1.3998942449688911e-08, -9.138602763414383e-09)"",""(-1.3357769513061938e-11, -8.720040804784717e-12)"""
"24211,0.32631139144967386,""(92.80099954566106, 164.443517409442)"",""(0.40263596291956605, 0.5060170817629783)"",""(6.067239155527204e-09, -3.221430233679712e-09)"",""(5.485749688541776e-12, -2.912685563905707e-12)"""
"28389,0.30310374649000116,""(98.2550283560534, 195.0196202754588)"",""(0.4265571419125149, 0.47553828498886963)"",""(-2.1217601897660643e-08, -1.7507773009128869e-09)"",""(-1.6628214653339063e-11, -1.3720825242264003e-12)"""
"33956,0.4422045111215294,""(108.04856284603605, 157.81370008245966)"",""(0.44234943324808285, 0.49782127010304655)"",""(-1.7535057850182056e-08, -1.800935933715664e-08)"",""(-1.568430934721114e-11, -1.610855039101667e-11)"""
"26159,0.4730379746835443,""(63.23135440957223, 157.83095684085782)"",""(0.35765146212397836, 0.4978760534630407)"",""(-2.3566826712340117e-08, -6.641130312345922e-09)"",""(-2.3998805206048997e-11, -6.762861825199513e-12)"""
"21542,0.4093725057960549,""(52.78739207130257, 131.28562807538762)"",""(0.3138629822503186, 0.41229629137780893)"",""(6.043592293281108e-09, -6.265054253162816e-09)"",""(6.2563067218230935e-12, -6.485563409071239e-12)"""
"33178,0.4000048225308642,""(130.9717583941166, 171.22882633070105)"",""(0.5096931701730062, 0.5270242301260094)"",""(-4.198227543383837e-09, 7.652488420717418e-09)"",""(-3.619161675330894e-12, 6.596972776480533e-12)"""
"38347,0.3592157523980815,""(132.8132578819725, 233.74644691892456)"",""(0.516914736792049, 0.5594866512474148)"",""(6.803020369261503e-10, 3.0104274628683925e-09)"",""(5.054249902868873e-13, 2.2365731522053437e-12)"""
"31342,0.43418391377829496,""(113.38695679918321, 158.34637228000767)"",""(0.49728741946541244, 0.49636079583598636)"",""(3.2259777071885765e-09, 5.679612513631582e-08)"",""(2.9596125754023636e-12, 5.210653682230809e-11)"""
"13232,0.9907157831686133,""(21.5, 159.5)"",""(0.5, 0.5)"",""(0.0, 0.0)"",""(0.0, 0.0)"""
"15168,0.7959697732997482,""(23.609770569620252, 211.12757120253164)"",""(0.4810589482897926, 0.5306251798043728)"",""(-5.125002644490451e-09, 1.3181988833821379e-09)"",""(-5.75842993762972e-12, 1.4811223408788066e-12)"""
"15384,0.4131485659039639,""(84.48751950078002, 178.7158086323453)"",""(0.7259784304415654, 0.555361901976079)"",""(-5.942183634033427e-09, 1.3369572116062045e-09)"",""(-6.7988371098780625e-12, 1.5296993267805544e-12)"""
"28500,0.4350613665506503,""(77.53014035087719, 160.38554385964912)"",""(0.37331775780915705, 0.5027935137528363)"",""(-3.3887772588059306e-09, -1.4026682038092986e-09)"",""(-3.2335660866468804e-12, -1.338423858596659e-12)"""
"17522,0.3370393167654074,""(41.57664650154092, 193.7440360689419)"",""(0.24893648160454554, 0.6099494812308288)"",""(-1.5577825251966715e-08, -1.864464138634503e-09)"",""(-1.6193165542584944e-11, -1.938112410222976e-12)"""
"48884,0.4495865944394883,""(170.69482857376647, 157.47745683659275)"",""(0.4961837092800189, 0.49518182543225553)"",""(1.1983502190560102e-08, -2.750311978161335e-08)"",""(9.07841075042432e-12, -2.083569680425254e-11)"""
"37371,0.49377675598541304,""(119.46396938802815, 158.5096732760697)"",""(0.4998479721013846, 0.4968759409339738)"",""(-2.1349478629417717e-08, -1.0186340659856796e-10)"",""(-1.919917142933248e-11, -9.160378291238126e-14)"""
"34826,0.3788234782230344,""(141.7578820421524, 163.65769827140642)"",""(0.5009177296873751, 0.5004852254504812)"",""(-1.300759322475642e-08, 8.923962013795972e-09)"",""(-1.0697033901937845e-11, 7.338784550819056e-12)"""
"38607,0.34140712049663074,""(141.87624006009273, 217.63594684901702)"",""(0.5013389325981947, 0.5415898671225425)"",""(3.14321368932724e-09, -1.7613274394534528e-08)"",""(2.3010349116597658e-12, -1.2894051533334209e-11)"""
"26654,0.4334124686981691,""(74.92518946499587, 127.6471073760036)"",""(0.383032069766818, 0.4007819853671)"",""(-8.302777132485062e-09, 9.844370651990175e-09)"",""(-8.124048074838613e-12, 9.632456606644006e-12)"""
"32371,0.48627009163286766,""(89.78032807142195, 147.92119489666678)"",""(0.4247862587149375, 0.46494049017932526)"",""(-3.356035449542105e-09, 1.1160409485455602e-08)"",""(-3.1840943544042744e-12, 1.0588623800242507e-11)"""
"24792,0.3940366826663276,""(97.91836076153598, 167.63056631171347)"",""(0.5047831289663333, 0.5127094348052722)"",""(6.501068128272891e-09, 2.1755113266408443e-09)"",""(6.26307141452109e-12, 2.0958683300971526e-12)"""
"28877,0.3649311259951978,""(96.64608511964539, 196.98635592339926)"",""(0.49815669333148643, 0.47918424431148965)"",""(-4.019966581836343e-10, 9.094947017729282e-11)"",""(-3.3333056234132196e-13, 7.54141543758647e-14)"""
"19953,0.26670854943057265,""(118.44464491555155, 111.18202776524834)"",""(0.4997644464491555, 0.34867730305458333)"",""(1.496482582297176e-08, 2.367414708714932e-09)"",""(1.3530583926737578e-11, 2.14051962813285e-12)"""
"29024,0.3803234006866368,""(118.38044377067254, 173.89188257993385)"",""(0.4973747617401379, 0.5386039955761179)"",""(1.8448190530762076e-08, 3.4924596548080444e-08)"",""(1.6501064875458028e-11, 3.123845845087696e-11)"""
"32821,0.3453497059040163,""(118.39965266140581, 226.40995094604065)"",""(0.49745615534493987, 0.5635248773651016)"",""(1.6118065104819834e-08, -1.2150849215686321e-08)"",""(1.2631712464592347e-11, -9.522609103202446e-12)"""
"25612,0.302785265049416,""(131.7428549117601, 153.14497110729346)"",""(0.49336926381796264, 0.4799525902438279)"",""(2.1709638531319797e-09, -3.432433004491031e-09)"",""(1.8587019290513526e-12, -2.938726887406705e-12)"""
"21008,0.29102596071260356,""(113.86500380807311, 131.89551599390708)"",""(0.49940267171713765, 0.412919608813587)"",""(-8.521965355612338e-10, -2.3089796741260216e-09)"",""(-7.818316840011319e-13, -2.118329976262405e-12)"""
"25385,0.3862128773125609,""(102.59393342525114, 160.437660035454)"",""(0.4907919489142567, 0.506151301699854)"",""(-2.533488441258669e-08, 7.829385140212253e-09)"",""(-2.4174508027277376e-11, 7.470787347530775e-12)"""
